Model,Cores,Speed (GHz),Cache,Placeholder,QPI/HT,Watts,Notes,CINT2006Rate,CFP2006Rate,Blended,Blended/Core
AMD 2216,2,2.4,1M,,,95,,23.3,22.5,22.9,11.45
AMD 2220,2,2.8,1M,,,119,,25,24,24.5,12.25
AMD 2352,4,2.1,2M,,1GHz,95,,47.35,42.05,44.7,11.18
AMD 2354,4,2.2,2M,,1GHz,75,,49,42.6,45.8,11.45
AMD 2356,4,2.3,2M,,1GHz,75,,51,44,47.5,11.88
AMD 2374HE,4,2.2,2M,,1GHz,55,,58,52.5,55.25,13.81
AMD 2376,4,2.3,2M,,,75,,60,54,57,14.25
AMD 2378,4,2.4,2M,,1GHz,75,,51.5,48.85,50.175,12.54
AMD 2379HE,4,2.4,2M,,1GHz,55,,61,54.5,57.75,14.44
AMD 2381HE,4,2.5,2M,,1GHz,55,,63,56,59.5,14.88
AMD 2382,4,2.6,2M,,1GHz,75,,54.5,51,52.75,13.19
AMD 2384,4,2.7,6M,,1GHz,75,,67,58.5,62.75,15.69
AMD 2387,4,2.8,2M,,1GHz,75,,58,53,55.5,13.88
AMD 2389,4,2.9,2M,,1GHz,75,,70.5,60,65.25,16.31
AMD 2423HE,6,2,3M,,3GHz,55,,85,62.5,73.75,12.29
AMD 2425HE,6,2.1,3M,,3GHz,55,,88.5,64.5,76.5,12.75
AMD 2427,6,2.2,3M,,3GHz,75,,91,66,78.5,13.08
AMD 2431,6,2.4,3M,,3GHz,75,,96.5,68,82.25,13.71
AMD 2435,6,2.6,3M,,3GHz,75,,102,71,86.5,14.42
AMD 252,1,2.6,1M,,,95,,5,4,4.5,4.5
AMD 275,4,2.2,2M,,,95,,16.9,14.2,15.55,3.89
AMD 4122,4,2.2,2M,,2.2GHz,75,,69.5,62,65.75,16.44
AMD 4130,4,2.6,2M,,2.2GHz,75,,79,68.5,73.75,18.44
AMD 4162EE,6,1.7,3M,,2.2GHz,32,,80.5,67,73.75,12.29
AMD 4164EE,6,1.8,3M,,2.2GHz,32,,82,69.5,75.75,12.63
AMD 4170HE,6,2.1,3M,,2.2GHz,50,,96.5,78.5,87.5,14.58
AMD 4174HE,6,2.3,3M,,2.2GHz,50,,103,83,93,15.5
AMD 4176HE,6,2.4,3M,,2.2GHz,50,,105.5,85,95.25,15.88
AMD 4180,6,2.6,3M,,2.2GHz,75,,112.5,87.5,100,16.67
AMD 4184,6,2.8,3M,,2.2GHz,75,,118.5,91,104.75,17.46
AMD 6124HE,8,1.8,12M,,,85,,117.5,107.5,112.5,14.06
AMD 6128,8,2,12M,,,115,,127.5,114,120.75,15.09
AMD 6128HE,8,2,12M,,,85,,128,114,121,15.13
AMD 6132HE,8,2.2,12M,,,85,,138,122,130,16.25
AMD 6134,8,2.3,4M,,,115,,143,125.5,134.25,16.78
AMD 6136,8,2.4,4M,,1.8GHz,115,,144,127,135.5,16.94
AMD 6140,8,2.6,12M,,,115,,156,135.5,145.75,18.22
AMD 6164HE,12,1.7,12M,,,85,,161.5,134.5,148,12.33
AMD 6166HE,12,1.8,12M,,,85,,169,137,153,12.75
AMD 6168,12,1.9,12M,,,115,,176.5,146.5,161.5,13.46
AMD 6172,12,2.1,12M,,,115,,188.5,154,171.25,14.27
AMD 6174,12,2.2,12M,,1.8GHz,80,,186.5,154,170.25,14.19
AMD 6176,12,2.3,12M,,1.8GHz,80,,201,161,181,15.08
AMD 6180SE,12,2.5,12M,,1.8MHz,105,,206.25,167,186.625,15.55
AMD 6204,4,3.3,16M,,,115,,87.25,80.25,83.75,20.94
AMD 6212,8,2.6,16M,,,115,,139,125.5,132.25,16.53
AMD 6220,8,3,16M,,,115,,158,136,147,18.38
AMD 6234,12,2.4,16M,,,115,,191,156,173.5,14.46
AMD 6238,12,2.6,16M,,,115,,207.5,164.5,186,15.5
AMD 6262HE,16,1.6,16M,,,85,,183,146.5,164.75,10.3
AMD 6272,16,2.1,16M,,,115,,224,172,198,12.38
AMD 6274,16,2.2,16M,,,115,,232,175.5,203.75,12.73
AMD 6276,16,2.3,16M,,,115,,244,188,216,13.5
AMD 6278,16,2.4,16M,,,115,,260,197,228.5,14.28
AMD 6282SE,16,2.6,16M,,,140,,268.5,200,234.25,14.64
AMD 6284SE,16,2.7,16M,,,140,,286.5,208,247.25,15.45
AMD 6308,4,3.5,16M,,,115,,99.75,92.25,96,24
AMD 6320,8,2.8,16M,,,115,,166,146.25,156.125,19.52
AMD 6328,8,3.2,16M,,,115,,184.5,155,169.75,21.22
AMD 6344,12,2.6,16M,,,115,,224.75,182.75,203.75,16.98
AMD 6348,12,2.8,16M,,,115,,238.25,190.25,214.25,17.85
AMD 6366HE,16,1.8,16M,,,85,,223,170.75,196.875,12.3
AMD 6376,16,2.3,16M,,,115,,252.5,201.25,226.875,14.18
AMD 6378,16,2.4,16M,,,115,,262.5,204.5,233.5,14.59
AMD 6380,16,2.5,16M,,,115,,275,208,241.5,15.09
AMD 6386SE,16,2.8,16M,,,140,,295,218.5,256.75,16.05
AMD 8214,2,2.2,1M,,1GHz,68,,20.9,19.35,20.125,10.06
AMD 8218,2,2.6,2M,,1GHz,95,,23.9,22,22.95,11.48
AMD 8220,2,2.8,2M,,1GHz,95,,24.5,21.5,23,11.5
